FechaPrediccion(UTC)	Hora	Vel78m(m/s)	Dir_78m
2015/01/16 13:00 1.1311171 240.72005
2015/01/16 14:00 1.0186986 186.79611
2015/01/16 15:00 1.9092582 155.79262
2015/01/16 16:00 2.9698915 148.92267
2015/01/16 17:00 4.109814 148.41609
2015/01/16 18:00 5.2945366 149.88913
2015/01/16 19:00 6.2927074 151.30461
2015/01/16 20:00 6.962841 153.06416
2015/01/16 21:00 7.390641 155.2953
2015/01/16 22:00 7.755704 155.94164
2015/01/16 23:00 8.082235 155.064
2015/01/17 00:00 8.024722 145.94345
2015/01/17 01:00 8.275832 146.29774
2015/01/17 02:00 8.692263 145.9816
2015/01/17 03:00 9.06426 146.97353
2015/01/17 04:00 9.122183 148.88638
2015/01/17 05:00 9.105687 150.36377
2015/01/17 06:00 9.111921 150.81216
2015/01/17 07:00 8.9951 151.02342
2015/01/17 08:00 8.665529 149.57304
2015/01/17 09:00 8.133818 145.79887
2015/01/17 10:00 7.272394 144.58577
2015/01/17 11:00 6.3420167 148.00534
2015/01/17 12:00 5.8783407 152.4926
2015/01/17 13:00 5.9369617 150.66092
2015/01/17 14:00 6.471965 147.42175
2015/01/17 15:00 7.7234173 145.79382
2015/01/17 16:00 8.843038 146.96272
2015/01/17 17:00 9.449705 150.10728
2015/01/17 18:00 9.6339 152.56445
2015/01/17 19:00 9.636183 153.86375
2015/01/17 20:00 9.5596485 155.3317
2015/01/17 21:00 9.365582 156.7368
2015/01/17 22:00 9.081859 158.68935
2015/01/17 23:00 8.76873 161.2803
2015/01/18 00:00 8.611641 163.07683
2015/01/18 01:00 8.125264 167.9106
2015/01/18 02:00 7.6787887 172.29817
2015/01/18 03:00 7.404163 182.81664
2015/01/18 04:00 7.023125 198.76369
2015/01/18 05:00 6.799794 212.94325
2015/01/18 06:00 6.760713 221.64618
2015/01/18 07:00 6.888087 226.81528
2015/01/18 08:00 6.934244 230.62354
2015/01/18 09:00 6.7009435 231.44887
2015/01/18 10:00 6.1572666 226.04219
2015/01/18 11:00 5.735627 220.6117
2015/01/18 12:00 5.0741196 219.84235
