CodParque	NombreParque	Latitud	Longitud	Altura	
036	PANTE01	44.5094	28.3208	78


"FechaPrediccion(UTC)"	"T2M(C)"	"Vel10m(m/s)"	"Dir_10m"	"Vel_Hm(m/s)"	"Dir_Hm"
2015-01-13 12:00	0	4.169414	223.77214	6.141088	223.26657
2015-01-13 13:00	0	3.9961414	220.70413	5.6848464	219.01736
2015-01-13 14:00	0	3.2044148	213.71617	6.0438375	212.86797
2015-01-13 15:00	0	3.1676288	207.15616	6.974383	208.92244
2015-01-13 16:00	0	3.2974586	203.07666	7.724284	208.56844
2015-01-13 17:00	0	3.261582	199.91376	8.037142	209.62473
2015-01-13 18:00	0	3.209453	196.53459	8.0236225	210.15353
2015-01-13 19:00	0	3.161512	193.59648	7.8264356	210.09155
2015-01-13 20:00	0	3.126585	192.36674	7.600664	210.52664
2015-01-13 21:00	0	3.0763407	192.42915	7.4365864	211.52843
2015-01-13 22:00	0	3.0664108	190.68262	7.2676296	211.40196
2015-01-13 23:00	0	3.0619686	188.52736	7.123217	210.76926
2015-01-14 0:00	0	3.0126078	182.9646	6.6861815	208.92285
2015-01-14 1:00	0	3.0530465	178.08208	6.3596535	207.1393
2015-01-14 2:00	0	3.0637758	171.74255	6.333196	202.08084
2015-01-14 3:00	0	3.1162522	166.07382	6.224608	198.12564
2015-01-14 4:00	0	3.17627	159.80109	6.174311	193.25998
2015-01-14 5:00	0	3.2346616	155.47414	6.0765824	190.00786
2015-01-14 6:00	0	3.242234	151.2164	6.028223	186.67702
2015-01-14 7:00	0	2.7870924	148.98203	6.1939154	183.73203
2015-01-14 8:00	0	3.0603974	149.51541	6.229641	181.89442
2015-01-14 9:00	0	2.5609477	148.86736	5.764668	179.49147
2015-01-14 10:00	0	2.4683857	146.86293	5.2077985	172.66791
2015-01-14 11:00	0	2.8064735	149.29869	4.677416	164.32445
2015-01-14 12:00	0	2.8432834	148.9793	4.2181506	158.18959
2015-01-14 13:00	0	2.9647627	147.74397	4.24941	153.78917
2015-01-14 14:00	0	2.4795122	141.88626	4.851492	152.17754
2015-01-14 15:00	0	3.1774461	137.74477	5.933306	152.63037
2015-01-14 16:00	0	3.4726808	135.72427	6.8037953	153.94028
2015-01-14 17:00	0	3.5603094	136.68367	7.1822023	157.51979
2015-01-14 18:00	0	3.6018958	139.02597	7.287719	161.75139
2015-01-14 19:00	0	3.5395815	141.61014	7.147725	166.31058
2015-01-14 20:00	0	3.4230325	143.39803	6.934964	169.77232
2015-01-14 21:00	0	3.2552323	145.74483	6.6385026	174.1794
2015-01-14 22:00	0	3.1040146	149.26523	6.2701	180.19487
2015-01-14 23:00	0	3.0188706	153.90186	5.8566823	187.33554
2015-01-15 0:00	0	3.1744633	138.41606	6.225033	166.14197
2015-01-15 1:00	0	3.06029	141.13861	5.4939075	172.92876
2015-01-15 2:00	0	3.0690234	145.09656	4.961722	178.78696
2015-01-15 3:00	0	2.9819472	152.25882	4.5517473	187.82295
2015-01-15 4:00	0	2.6943352	165.85326	4.478353	201.33963
2015-01-15 5:00	0	2.465206	193.40128	4.856986	222.498
2015-01-15 6:00	0	2.642592	222.45284	5.509074	240.13037
2015-01-15 7:00	0	2.0898921	241.84517	6.1251597	251.78233
2015-01-15 8:00	0	2.9661121	257.84644	6.673865	263.68896
2015-01-15 9:00	0	3.4624562	266.62418	6.8093076	272.55786
2015-01-15 10:00	0	4.3172355	272.1628	6.3292217	277.40802
2015-01-15 11:00	0	4.6117573	274.62808	5.9990606	279.7943
2015-01-15 12:00	0	4.7288375	280.84677	6.0462275	286.9789
2015-01-15 13:00	0	4.7185106	287.1483	6.1345162	294.78293
2015-01-15 14:00	0	4.3354807	290.56485	6.587182	299.98422
2015-01-15 15:00	0	3.7724366	291.6514	7.2145605	303.06946
2015-01-15 16:00	0	3.7417219	293.66187	7.5425367	307.1197
2015-01-15 17:00	0	3.545145	294.7332	7.7057242	311.0949
2015-01-15 18:00	0	3.5150516	294.54752	7.859092	312.6139
2015-01-15 19:00	0	3.5103374	295.70374	8.499494	313.60132
2015-01-15 20:00	0	3.6488867	298.4321	9.244705	315.20972
2015-01-15 21:00	0	3.9536507	302.8122	9.570265	318.2371
2015-01-15 22:00	0	3.8843908	305.43542	9.146523	321.34842
2015-01-15 23:00	0	3.3904288	303.53522	8.438493	321.92072
2015-01-16 0:00	0	3.706677	297.27576	7.9453554	317.69662
2015-01-16 1:00	0	3.5011528	298.60498	7.7870526	320.03336
2015-01-16 2:00	0	2.9496064	299.27438	7.0990157	323.10687
2015-01-16 3:00	0	2.7053432	298.2474	6.3666487	324.5764
2015-01-16 4:00	0	2.670645	297.2063	5.6024566	325.30435
2015-01-16 5:00	0	2.6646497	295.80945	4.8440995	324.3997
2015-01-16 6:00	0	2.6197693	293.39072	4.081873	320.9271
2015-01-16 7:00	0	2.5967968	291.39096	3.472264	316.0303
2015-01-16 8:00	0	2.0617573	286.8724	2.746236	313.07642
2015-01-16 9:00	0	1.4633347	271.48065	1.9034957	302.2576
2015-01-16 10:00	0	1.4466927	267.545	1.5358987	275.73108
2015-01-16 11:00	0	1.4496224	261.9274	1.6045965	262.14377
2015-01-16 12:00	0	1.3513936	261.14188	1.4687761	259.44614
2015-01-16 13:00	0	0.9966614	243.8976	1.1311171	240.72005
2015-01-16 14:00	0	0.74793816	185.04205	1.0186986	186.79611
2015-01-16 15:00	0	1.4920793	139.3267	1.9092582	155.79262
2015-01-16 16:00	0	2.469727	129.4303	2.9698915	148.92267
2015-01-16 17:00	0	3.191016	127.95538	4.109814	148.41609
2015-01-16 18:00	0	3.2491693	128.61392	5.2945366	149.88913
2015-01-16 19:00	0	3.3576298	128.21419	6.2927074	151.30461
2015-01-16 20:00	0	3.459006	128.05492	6.962841	153.06416
2015-01-16 21:00	0	3.4771705	128.71907	7.390641	155.2953
2015-01-16 22:00	0	3.5335724	129.51033	7.755704	155.94164
2015-01-16 23:00	0	3.603135	128.7336	8.082235	155.064
2015-01-17 0:00	0	3.6713343	121.91659	8.024722	145.94345
2015-01-17 1:00	0	3.8990934	122.4913	8.275832	146.29774
2015-01-17 2:00	0	4.2314796	123.17244	8.692263	145.9816
2015-01-17 3:00	0	4.3496466	125.22889	9.06426	146.97353
2015-01-17 4:00	0	4.259523	127.720955	9.122183	148.88638
2015-01-17 5:00	0	4.2090774	129.25969	9.105687	150.36377
2015-01-17 6:00	0	4.2330837	130.09818	9.111921	150.81216
2015-01-17 7:00	0	4.402059	131.61244	8.9951	151.02342
2015-01-17 8:00	0	4.401169	132.50352	8.665529	149.57304
2015-01-17 9:00	0	4.4394503	133.10059	8.133818	145.79887
2015-01-17 10:00	0	4.860472	137.7566	7.272394	144.58577
2015-01-17 11:00	0	4.8669066	144.4782	6.3420167	148.00534
2015-01-17 12:00	0	4.69926	149.04605	5.8783407	152.4926
2015-01-17 13:00	0	4.687136	148.50539	5.9369617	150.66092
2015-01-17 14:00	0	4.3339167	143.03746	6.471965	147.42175
2015-01-17 15:00	0	3.9137137	136.60704	7.7234173	145.79382
2015-01-17 16:00	0	4.569386	135.52248	8.843038	146.96272
2015-01-17 17:00	0	4.7009134	137.87787	9.449705	150.10728
2015-01-17 18:00	0	4.635177	139.7676	9.6339	152.56445
2015-01-17 19:00	0	4.465647	139.65341	9.636183	153.86375
2015-01-17 20:00	0	4.2866898	140.02327	9.5596485	155.3317
2015-01-17 21:00	0	4.0361757	140.00674	9.365582	156.7368
2015-01-17 22:00	0	3.727999	140.45522	9.081859	158.68935
2015-01-17 23:00	0	3.6361964	141.4266	8.76873	161.2803
2015-01-18 0:00	0	3.5796127	142.24178	8.611641	163.07683
2015-01-18 1:00	0	3.4846444	146.14845	8.125264	167.9106
2015-01-18 2:00	0	3.4141622	148.99449	7.6787887	172.29817
2015-01-18 3:00	0	3.2417521	158.28922	7.404163	182.81664
2015-01-18 4:00	0	3.0703633	172.8826	7.023125	198.76369
2015-01-18 5:00	0	3.0112226	186.62949	6.799794	212.94325
2015-01-18 6:00	0	2.8466456	195.31046	6.760713	221.64618
2015-01-18 7:00	0	1.9366809	201.28995	6.888087	226.81528
2015-01-18 8:00	0	2.2775464	207.31201	6.934244	230.62354
2015-01-18 9:00	0	2.316969	214.29254	6.7009435	231.44887
2015-01-18 10:00	0	2.5874157	216.68921	6.1572666	226.04219
2015-01-18 11:00	0	2.7132971	214.29633	5.735627	220.6117
2015-01-18 12:00	0	2.794692	216.26624	5.0741196	219.84235
2015-01-18 13:00	0	2.7807188	214.77028	4.868249	217.47897
2015-01-18 14:00	0	2.413836	206.50174	4.9610615	212.26628
